object_id,type,lat,lon,height
146,point,37.2223066,72.0726442,3085.0
147,point,37.2403845,72.07999,3142.0
148,point,37.2365985,72.1568105,3164.0
149,point,37.2442376,72.1934154,3158.0
150,point,37.252959,72.2101878,3145.0
151,point,37.3179204,72.2221537,3199.0
152,point,37.3370943,72.244961,3217.0
153,point,37.346126,72.2746928,3254.0
154,point,37.3538761,72.3067196,3278.0
155,point,37.3580271,72.4454926,3436.0
156,point,38.0621191,71.8725683,2173.0
157,point,38.0639838,71.8856559,2189.0
158,point,38.0367203,71.8613617,2226.0
159,point,38.0381336,71.8671963,2177.0
160,point,38.0058803,71.6683135,2036.0
161,point,37.9918796,71.7068944,2050.0
162,point,38.0026462,71.7709669,2105.0
163,point,37.9709372,71.730012,2051.0
164,point,37.9614785,71.7929186,2484.0
165,point,38.0020327,71.8315765,2114.0
166,point,38.1254747,71.9408404,2235.0
167,point,38.149934,71.9442506,2261.0
168,point,38.1847911,71.9945354,2623.0
169,point,38.1177703,72.0424851,2290.0
170,point,38.1088554,72.1629842,2355.0
171,point,38.0552131,72.1688967,2823.0
172,point,38.1243646,72.1991895,2389.0
173,point,37.9701089,71.9699121,2953.0
174,point,38.1122646,72.2915184,2842.0
175,point,38.2128756,72.2676701,2458.0
176,point,38.3167161,72.3203195,3039.0
177,point,38.3166243,72.4077941,2671.0
178,point,38.2941646,72.3412639,2524.0
179,point,38.2972633,72.3999442,2601.0
180,point,38.3118452,72.4796942,2609.0
181,point,38.3631273,72.5027909,2666.0
182,point,38.4036593,72.5983578,2994.0
183,point,38.3981631,72.6210422,2997.0
184,point,38.4104478,72.6776319,3010.0
185,point,38.2080744,72.7861205,3271.0
186,point,38.262885,72.6159196,3271.0
187,point,38.1856121,72.6327125,3271.0
188,point,38.2545847,72.2694587,2471.0
189,point,37.9446776,71.5584959,1985.0
190,point,37.9251496,71.3096234,2007.0
191,point,37.960127,71.2750519,1878.0
192,point,38.1110913,71.3333883,1664.0
193,point,38.0635428,71.3177245,1681.0
194,point,37.9136447,71.3870432,1965.0
195,point,37.9277857,71.4311486,2007.0
196,point,37.9394111,71.4605867,1994.0
197,point,37.9558583,71.4971292,1996.0
198,point,37.9599188,71.5077702,1998.0
199,point,37.974001,71.6314123,2077.0
200,point,37.9462384,71.6246233,2026.0
201,point,37.866867,71.6004779,1989.0
202,point,37.8703103,71.6292054,2226.0
203,point,37.8682205,71.6263776,2189.0
204,point,37.8690546,71.6236843,2184.0
205,point,37.8497577,71.6502531,2722.0
206,point,37.8313123,71.657795,2861.0
207,polygon,38.3301258,72.3034824,3763.0
207,polygon,38.279476,72.3144687,2906.0
207,polygon,38.2773199,72.3920596,3896.0
207,polygon,38.3037277,72.4991763,3344.0
207,polygon,38.3462832,72.5259555,4668.0
207,polygon,38.3990388,72.6962436,3518.0
207,polygon,38.4232505,72.6880039,3215.0
207,polygon,38.4205607,72.6097263,3777.0
207,polygon,38.3694358,72.4833835,3574.0
207,polygon,38.3242005,72.4325717,2941.0
207,polygon,38.3322803,72.3968662,3291.0
207,polygon,38.3096546,72.3570408,3077.0
207,polygon,38.3317417,72.3261417,3445.0
207,polygon,38.3301258,72.3034824,3763.0
208,polygon,37.9863606,71.8070646,3646.0
208,polygon,37.9370962,71.8743558,3528.0
208,polygon,37.9641687,72.013745,3710.0
208,polygon,37.9923134,72.0020719,3564.0
208,polygon,37.9684995,71.8853422,3514.0
208,polygon,37.9950191,71.8503233,3165.0
208,polygon,38.0972196,71.9567533,4439.0
208,polygon,38.0823581,72.1170851,3056.0
208,polygon,38.1150495,72.2396513,3787.0
208,polygon,38.0920843,72.3083174,3968.0
208,polygon,38.1141043,72.3186301,3356.0
208,polygon,38.1427531,72.2378953,2559.0
208,polygon,38.2204933,72.292081,3418.0
